,backrub_steps,case_name,fa_atr,fa_dun,fa_elec,fa_intra_rep,fa_intra_sol_xover4,fa_rep,fa_sol,hbond_bb_sc,hbond_lr_bb,hbond_sc,hbond_sr_bb,lk_ball_wtd,nstruct,omega,p_aa_pp,pro_close,rama_prepro,ref,score_function_name,scored_state,total_score,yhh_planarity
0,5000,6FEG,10.63329,-0.0,2.00571,-0.0,-0.0,-1.88831,-2.65878,0.64406,-0.0,0.65806,0.0,-0.45008,10,0.0,0.0,0.0,0.0,-0.0,fa_ref2015,ddG,8.94395,0.0
1,10000,6FEG,10.62171,-0.0,1.51429,0.0,0.0,-1.84661,-1.89535,0.72529,-0.0,-0.39054,-0.0,-0.21186,10,-0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,8.51693,0.0
2,15000,6FEG,10.37852,-0.0,2.01464,0.0,0.0,-2.03553,-2.27461,0.91513,-0.0,-0.22176,0.0,-0.24063,10,0.0,0.0,0.0,0.0,-0.0,fa_ref2015,ddG,8.53577,-0.0
3,20000,6FEG,10.13258,0.0,1.99482,0.0,0.0,-1.76971,-1.17873,0.5286,0.0,-0.03151,0.0,0.33327,10,0.0,-0.0,0.0,0.0,-0.0,fa_ref2015,ddG,10.00932,-0.0
4,25000,6FEG,10.35996,-0.0,1.56318,-0.0,0.0,-1.82748,-1.38991,0.41247,0.0,-0.08973,-0.0,-0.22527,10,-0.0,0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,8.80322,0.0
5,30000,6FEG,11.6119,-0.0,1.21062,0.0,0.0,-1.61079,-2.52124,1.04928,-0.0,-0.50289,0.0,-0.20928,10,-0.0,0.0,0.0,0.0,-0.0,fa_ref2015,ddG,9.02759,0.0
6,35000,6FEG,11.14088,-0.0,2.46474,-0.0,0.0,-1.30437,-2.87682,1.38557,0.0,0.2711,-0.0,-0.34906,10,0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,10.73206,-0.0
7,40000,6FEG,11.15235,0.0,2.43256,0.0,0.0,-1.38055,-2.45804,1.42562,0.0,-0.0499,0.0,-0.36003,10,0.0,0.0,0.0,0.0,-0.0,fa_ref2015,ddG,10.76202,0.0
8,45000,6FEG,10.92176,0.0,2.55055,-0.0,0.0,-1.30042,-2.24747,0.9572,-0.0,0.11488,0.0,-0.26738,10,0.0,0.0,-0.0,-0.0,-0.0,fa_ref2015,ddG,10.72912,-0.0
9,50000,6FEG,11.84216,0.0,1.57207,0.0,0.0,-1.86727,-2.78256,0.98997,0.0,-0.25041,-0.0,0.18816,10,-0.0,-0.0,-0.0,0.0,-0.0,fa_ref2015,ddG,9.69211,-0.0
